Date,GBP_Rate,EUR_Rate,GBP_7DMA,EUR_7DMA,GBP_EUR_Ratio
2018-01-01,86.1111,76.5856,86.08638571,76.29738571,1.124377168
2018-01-02,86.4071,76.5418,86.07227143,76.23365714,1.128887745
2018-01-03,85.7432,76.2472,86.02164286,76.23198571,1.124542278
2018-01-04,86.0225,76.5024,86.22682857,76.4032,1.124441848
2018-01-05,85.8875,76.1509,86.49684286,76.64598571,1.12785929
2018-01-08,86.1528,75.9153,86.81657143,76.96007143,1.134854239
2018-01-09,86.2805,76.1385,87.12077143,77.24105714,1.133204621
2018-01-10,86.0123,76.1395,87.45854286,77.52757143,1.129667255
2018-01-11,86.0527,76.5301,87.82758571,77.81108571,1.124429473
2018-01-12,87.1795,77.4457,88.27785714,78.05201429,1.12568548
2018-01-15,87.9126,78.2019,88.58424286,78.19602857,1.124174732
2018-01-16,88.1256,78.3495,89.01342857,78.31977143,1.124775525
2018-01-17,88.2822,77.8822,89.25601429,78.39387143,1.133535005
2018-01-18,88.6449,78.1441,89.41407143,78.5185,1.134377387
2018-01-19,88.5956,78.1241,89.65821429,78.67147143,1.134036744
2018-01-22,89.2046,78.2166,89.8839,78.78917143,1.140481688
2018-01-23,89.3242,78.4538,90.18851429,79.04872857,1.138557979
2018-01-24,90.9169,79.0681,90.34267143,79.23097143,1.149855631
2018-01-25,89.8237,78.8682,90.17135714,79.29611429,1.138908965
2018-01-29,89.3886,78.7546,90.12478571,79.37701429,1.135027033
2018-01-30,90.3539,79.2149,90.09655714,79.37571429,1.140617485
2018-01-31,90.1754,78.948,90.00464286,79.32932857,1.142212596
2018-02-01,91.3369,80.0335,89.83961429,79.32734286,1.141233359
2018-02-02,90.4033,79.7295,89.53055714,79.23511429,1.133875165
2018-02-05,89.7177,79.5241,89.40845714,79.2279,1.128182526
2018-02-06,89.4977,79.4345,89.49318571,79.31992857,1.126685508
2018-02-07,89.191,78.7455,89.58338571,79.38022857,1.13264885
2018-02-08,89.7105,78.8902,89.793,79.55147143,1.137156453
2018-02-09,89.0202,78.9341,89.89345714,79.68582857,1.127778742
2018-02-12,89.1735,79.3879,90.09081429,79.80442857,1.123263117
2018-02-14,89.5486,79.679,90.30207143,79.84877143,1.123867016
2018-02-15,90.3108,80.1683,90.45004286,79.8901,1.126515094
2018-02-16,90.1291,79.8566,90.4696,79.80727143,1.128636832
2018-02-20,90.6583,79.9442,90.40908571,79.75691429,1.134019729
2018-02-21,90.4137,79.8307,90.27148571,79.76984286,1.132568047
2018-02-22,90.4017,79.7643,90.199,79.82391429,1.133360413
2018-02-23,90.6523,79.6983,90.18977143,79.96452857,1.137443333
2018-02-26,90.5844,79.9683,90.12908571,80.08494286,1.132753854
2018-02-27,90.4477,79.5885,90.0247,80.11284286,1.136441823
2018-02-28,89.7055,79.5041,89.97847143,80.1847,1.128312879
2018-03-01,89.6951,80.0347,90.0536,80.26862857,1.120702645
2018-03-05,89.9063,80.2092,90.21522857,80.34717143,1.120897603
2018-03-06,90.3371,80.7486,90.33188571,80.36301429,1.118745093
2018-03-07,90.2275,80.5412,90.35312857,80.24341429,1.120265156
2018-03-08,89.8537,80.1636,90.40037143,80.13395714,1.120879052
2018-03-09,90.1241,80.0915,90.63472857,80.17665714,1.125264229
2018-03-12,90.2314,80.0916,90.80682857,80.1581,1.12660254
2018-03-13,90.8265,80.5845,91.06848571,80.19805714,1.127096402
2018-03-14,90.7229,80.3201,91.22972857,80.16247143,1.129516771
2018-03-15,90.4858,79.9114,91.3932,80.15327143,1.132326552
2018-03-16,90.5582,79.775,91.64642857,80.27498571,1.135170166
2018-03-19,91.4942,80.4625,91.89305714,80.39601429,1.13710362
2018-03-20,91.3288,79.9616,92.00597143,80.41882857,1.142158236
2018-03-21,92.063,80.3713,92.02418571,80.43718571,1.145471082
2018-03-22,91.9552,80.3354,91.94291429,80.35414286,1.144641092
2018-03-23,91.8672,80.2557,91.87795714,80.27432857,1.144681312
2018-03-26,92.2584,80.7634,91.74804286,80.16827143,1.142329322
2018-03-27,92.2846,80.6222,91.63934286,80.0145,1.144654946
2018-03-28,92.2846,80.6222,91.56285714,79.912,1.144654946
2018-04-01,91.4563,80.0901,91.59644286,79.90717143,1.141917665
2018-04-03,91.4941,79.79,91.77481429,80.00832857,1.146686302
2018-04-04,91.5005,79.7767,91.95745714,80.08707143,1.146957696
2018-04-05,90.9578,79.5133,92.21108571,80.22414286,1.143931896
2018-04-06,91.4975,79.687,92.67515714,80.48224286,1.148211126
2018-04-09,91.7492,79.9047,93.0303,80.71272857,1.148232832
2018-04-10,92.5197,80.5884,93.2689,80.92457143,1.148052325
2018-04-11,92.7049,80.7982,93.29852857,81.0488,1.147363431
2018-04-12,92.7726,80.3412,93.31837143,81.11605714,1.154732566
2018-04-13,93.2759,80.7362,93.2807,81.218,1.155316946
2018-04-16,94.2063,81.32,93.26092857,81.31644286,1.158464092
2018-04-17,93.9835,81.3004,93.11254286,81.32484286,1.156002922
2018-04-18,93.4194,81.3876,92.95648571,81.24532857,1.147833331
2018-04-19,92.7271,81.458,92.88101429,81.15335714,1.138342459
2018-04-20,92.8438,81.269,92.58607143,80.94645714,1.142425771
2018-04-23,92.5089,81.0548,92.26581429,80.74487143,1.141313038
2018-04-24,93.1375,81.4253,91.99087143,80.58964286,1.143839814
2018-04-25,93.1676,81.3788,91.66381429,80.40287143,1.144863281
2018-04-26,92.8911,80.7438,91.3736,80.20695714,1.150442511
2018-04-27,92.8911,80.7438,91.11577143,80.06441429,1.150442511
2018-05-01,90.6625,80.0097,90.9007,79.94255714,1.133143856
2018-05-02,90.602,79.8579,90.93107143,79.9535,1.134540227
2018-05-03,90.5843,79.9682,91.02305714,80.04652857,1.13275402
2018-05-04,90.8481,80.1179,91.15215714,80.12651429,1.13393012
2018-05-07,91.1361,80.0074,91.27137143,80.15171429,1.139095884
2018-05-08,91.0863,79.746,91.34425714,80.13507143,1.142205252
2018-05-09,91.3856,79.8908,91.45747143,80.21112857,1.143881398
2018-05-10,90.8751,80.0863,91.46074286,80.21657143,1.134714677
2018-05-11,91.2459,80.5091,91.51388571,80.21447143,1.133361322
2018-05-14,91.488,80.5281,91.53977143,80.17602857,1.136100318
2018-05-15,91.6826,80.2943,91.53298571,80.12101429,1.141831986
2018-05-16,91.6463,79.8909,91.4663,80.0625,1.147143166
2018-05-17,91.8788,80.2784,91.21511429,79.93561429,1.144502133
2018-05-18,91.4085,79.9289,90.97054286,79.7099,1.143622645
2018-05-21,91.2471,80.0716,90.72687143,79.4628,1.139568836
2018-05-22,91.4271,80.24,90.51912857,79.27991429,1.139420489
2018-05-23,91.4405,80.143,90.19235714,79.01854286,1.140966772
2018-05-24,91.2158,79.8847,89.93201429,78.76378571,1.141843181
2018-05-25,89.888,79.0027,89.67678571,78.5716,1.137783899
2018-05-28,90.1668,78.6984,89.68524286,78.52518571,1.145725961
2018-05-29,89.7028,78.1992,89.66791429,78.58277143,1.147106364
2018-05-30,89.7929,78.7914,89.79638571,78.78037143,1.139628183
2018-05-31,89.1397,78.4104,89.87892857,78.88488571,1.136835165
2018-06-01,89.6181,78.3597,90.01068571,79.01908571,1.143675895
2018-06-04,89.4292,78.5394,90.1129,79.16654286,1.138653975
2018-06-05,89.9472,78.6778,90.29171429,79.36454286,1.143234813
2018-06-06,90.0455,79.1015,90.29888571,79.35414286,1.138353887
2018-06-07,90.6021,79.5824,90.32788571,79.31882857,1.138469058
2018-06-08,90.3707,79.523,90.28574286,79.25812857,1.136409592
2018-06-11,90.062,79.3498,90.1754,79.15875714,1.13499971
2018-06-12,90.3336,79.3919,90.10668571,79.07914286,1.137818845
2018-06-13,90.6809,79.9254,90.05291429,79.00267143,1.134569236
2018-06-14,89.9974,78.605,89.99475714,78.92045714,1.144932256
2018-06-15,90.2485,78.8543,90.06255714,79.08295714,1.144496876
2018-06-18,90.3071,79.1575,90.11322857,79.2274,1.140853362
2018-06-19,89.5983,78.8274,90.09984286,79.29607143,1.136639037
2018-06-20,89.581,78.7925,90.14717143,79.44202857,1.13692293
2018-06-21,89.9572,78.8566,90.19697143,79.59297143,1.140769447
2018-06-22,90.2738,79.3499,90.26465714,79.75048571,1.13766747
2018-06-25,90.472,79.7425,90.27492857,79.84637143,1.134551839
2018-06-26,90.6032,79.8654,90.2822,79.88657143,1.13444871
2018-06-27,90.2134,79.6382,90.3492,79.97395714,1.132790545
2018-06-28,89.9296,79.8491,90.48202857,80.11604286,1.126244378
2018-06-29,89.9296,79.8491,90.70141429,80.24934286,1.126244378
2018-07-01,90.431,79.9592,90.86934286,80.38232857,1.130964292
2018-07-02,90.3457,80.0211,90.99995714,80.50168571,1.12902347
2018-07-03,90.5229,80.0239,91.04657143,80.52224286,1.131198305
2018-07-04,91.0722,80.4771,90.98201429,80.48478571,1.131653601
2018-07-05,91.1432,80.6328,90.95,80.45271429,1.13034894
2018-07-06,91.4653,80.7822,90.8604,80.37668571,1.132245717
2018-07-09,91.1051,80.78,90.6119,80.22727143,1.127817529
2018-07-10,91.3453,80.7947,90.44402857,80.13231429,1.130585298
2018-07-11,90.672,80.165,90.20428571,80.06327143,1.131067174
2018-07-12,90.071,79.7617,90.1478,80.11997143,1.129251257
2018-07-13,90.8481,80.2526,90.18072857,80.23164286,1.132026875
2018-07-16,90.516,80.1006,90.1426,80.2598,1.130028989
2018-07-17,89.7258,79.7363,90.16364286,80.33178571,1.12528171
2018-07-18,89.93,80.1153,90.20125714,80.3669,1.122507187
2018-07-19,89.6671,80.3114,90.23202857,80.37324286,1.116492802
2018-07-20,90.2766,80.5619,90.2919,80.38142857,1.120586779
2018-07-23,90.3015,80.5434,90.24301429,80.3176,1.121153316
2018-07-24,90.5812,80.4497,90.13167143,80.17922857,1.125935833
2018-07-25,90.6633,80.6045,89.97965714,80.0685,1.12479204
2018-07-26,89.9891,79.9821,89.77897143,79.89364286,1.125115495
2018-07-27,90.1454,80.1597,89.65695714,79.83332857,1.124572572
2018-07-30,90.0862,80.3687,89.46714286,79.77007143,1.120911499
2018-07-31,89.9344,80.1151,89.21875714,79.66492857,1.12256491
